"","variable","Mean","SD","CI","CIlow","CIhigh"
"1","FeelingOfUgliness",1.33,0.67,0.145362781213248,1.18,1.47
"2","Confusion",2.16,1.08,0.233236844925068,1.92,2.39
"3","Anger",1.55,0.9,0.194540519791647,1.36,1.75
"4","Boredom",1.31,0.59,0.128345197761062,1.18,1.43
"5","Uneasiness",1.85,1.04,0.225441244383716,1.62,2.07
"6","Sadness",3.03,1.3,0.282194499479748,2.74,3.31
"7","BeingMoved",3.9,1.19,0.258373031395434,3.64,4.15
"8","Surprise",3.12,1.03,0.223940935856687,2.89,3.34
"9","Fascination",4.27,0.8,0.173960879606953,4.1,4.45
"10","Awe",3.81,0.98,0.213254398908986,3.6,4.02
"11","FeelingOfBeauty",4.62,0.65,0.140926650473192,4.48,4.76
"12","IntellectualChallenge",3.73,1.01,0.219440562779101,3.51,3.95
"13","Interest",4.03,0.94,0.203951239235276,3.82,4.23
"14","Insight",3.66,1.15,0.249011950196781,3.41,3.91
"15","Energy",3.03,1.1,0.238646263553515,2.79,3.27
"16","Vitality",3.09,1.13,0.245737319443618,2.85,3.34
"17","Enchantment",4.06,1.03,0.222627405350771,3.84,4.28
"18","Nostalgia",3.32,1.29,0.278972712334202,3.04,3.6
"19","Relaxation",3.25,1.3,0.281630071989799,2.97,3.53
"20","Humor",2.69,1.22,0.264790985089068,2.42,2.95
"21","Joy",3.79,1.1,0.239011426696577,3.55,4.03
