"","Favourite Game","Mentions"
"1","THE ELDER SCROLLS 5: SKYRIM",25
"2","THE LEGEND OF ZELDA: BREATH OF THE WILD",22
"3","MINECRAFT",18
"4","THE WITCHER 3: WILD HUNT",14
"5","STARDEW VALLEY",9
"6","THE LAST OF US",8
"7","WORLD OF WARCRAFT",8
"8","ANIMAL CROSSING",7
"9","BORDERLANDS 2",7
"10","HOLLOW KNIGHT",7
"11","OVERWATCH",6
"12","RED DEAD REDEMPTION 2",6
"13","UNDERTALE",6
"14","CIVILIZATION 6",5
"15","DARK SOULS",5
"16","FALLOUT 4",5
"17","JOURNEY",5
"18","MASS EFFECT",5
"19","OKAMI",5
"20","POKEMON",5
"21","APEX LEGENDS",4
"22","BIOSHOCK",4
"23","CELESTE",4
"24","CIVILIZATION 5",4
"25","DARKEST DUNGEON",4
"26","DISCO ELYSIUM",4
"27","DIVINITY ORIGINAL SIN 2",4
"28","DOOM",4
"29","DOTA 2",4
"30","FALLOUT: NEW VEGAS",4
"31","GTA V",4
"32","HORIZON ZERO DAWN",4
"33","HOTLINE MIAMI",4
"34","LIFE IS STRANGE",4
"35","MARIO KART",4
"36","NIER: AUTOMATA",4
"37","OUTER WILDS",4
"38","PORTAL",4
"39","PORTAL 2",4
"40","RED DEAD REDEMPTION",4
"41","RETURN OF THE OBRA DINN",4
"42","SHADOW OF THE COLOSSUS",4
"43","THE BINDING OF ISAAC",4
"44","THE SIMS",4
"45","THE SIMS 4",4
"46","THE STANLEY PARABLE",4
"47","BLOODBORNE",3
"48","BORDERLANDS",3
"49","CIVILIZATION",3
"50","CRUSADER KINGS II",3
"51","FAR CRY 3",3
"52","FIREWATCH",3
"53","HALF-LIFE 2",3
"54","HALO",3
"55","HALO 2",3
"56","HEARTHSTONE",3
"57","MONKEY ISLAND",3
"58","RIMWORLD",3
"59","SMITE",3
"60","SUPER MARIO 64",3
"61","THE LEGEND OF ZELDA: MAJORA'S MASK",3
"62","THIS WAR OF MINE",3
"63","ANIMAL CROSSING NEW HORIZONS",2
"64","ANIMAL CROSSING: NEW HORIZONS",2
"65","ASSASSIN'S CREED ORIGINS",2
"66","BALDUR'S GATE",2
"67","BEAT SABER",2
"68","BINDING OF ISAAC",2
"69","BIOSHOCK SERIES",2
"70","BROTHERS: A TALE OF TWO SONS",2
"71","CITIES: SKYLINES",2
"72","DAY OF THE TENTACLE",2
"73","DEAD SPACE 1",2
"74","DETROIT: BECOME HUMAN",2
"75","DISHONORED",2
"76","DISHONORED 2",2
"77","DRAGON AGE: INQUISITION",2
"78","Dragon Age: ORIGINS",2
