"","variable","Pearsons Phi"
"1","CorOwnMemories","-0.05"
"2","CorUniqueExperience","0.05"
"3","CorAppreciation","0.06"
"4","CorDiscrepancy","0.1"
"5","CorSpecialAtmosphere","0.17"
"6","CorMeaningOfContent","0.18"
"7","CorInsight","0.22"
"8","CorNoMeaning","0.26"
"9","CorPersonalGrowth","0.26"
"10","CorBehavior","0.28"
"11","CorUncomfortable","0.29"
"12","CorConflictingEmotions","0.3"
"13","CorHarmony","0.3"
"14","CorSpecificThemes","0.31"
"15","CorDontKnowMeaning","0.33"
"16","CorWholeness","0.39"
"17","CorStorytelling","0.4"
"18","CorMeaningOfOwnLife","0.44"
"19","CorGame","0.47"
"20","CorInteractivity","0.47"
"21","CorMeaningOfHumanExistance","0.47"
"22","CorCraftsmanship","0.49"
"23","CorLossOfControl","0.49"
"24","CorOtherPerceptions","0.49"
"25","CorWellThoughtoutStory","0.51"
"26","CorIntenseEmotions","0.53"
"27","CorHealingExperience","0.56"
"28","CorNeedAgain","0.59"
"29","CorOtherPeople","0.59"
"30","CorLastingImpression","0.62"
"31","CorVisualArt","0.63"
"32","CorAbsorption","0.66"
"33","CorDisseminate","0.7"
"34","CorGameCharacters","0.7"
"35","CorHardToDescribe","0.7"
"36","CorPhysicalReactions","0.71"
"37","CorMusic","0.81"
"38","CorSimple","0.85"
