"","Name_Round2","Code_Round2","Phi_Round2","Agreement_Round2"
"1","GameCharacters","Game characters","0.49","0.85"
"2","OtherPeople","Other people","1","1"
"3","Game","Game","1","1"
"4","UniqueExperience","Unique experience","0.38","0.8"
"5","HardToDescribe","Hard-to-describe",NA,"1"
"6","PhysicalReactions","Physical reactions","0.69","0.95"
"7","Behavior","Behaviour/actions",NA,"1"
"8","IntenseEmotions","Intense/powerful emotions","0.19","0.75"
"9","ConflictingEmotions","Conflicting feelings/mixed feelings","-0.08","0.85"
"10","Absorption","Total absorption","0.73","0.9"
"11","SpecialAthmosphere","Special atmosphere","0.22","0.8"
"12","Wholesomeness","Experience of wholeness","0.54","0.8"
"13","LossOfControl","Loss of control",NA,"1"
"14","OwnMemories","Associations to own memories",NA,"0.9"
"15","MeaningOfHumanExsistance","Meaning of human life/existance","0.67","0.9"
"16","MeaningOfOwnLife","Meaning of one's own life/existance","0.55","0.9"
"17","PersonalGrowth","Personal growth/change","0.67","0.9"
"18","Insight","Insight/attitude change","0.33","0.65"
"19","Appreciation","Appreciation of feeling and/or experience","0.19","0.75"
"20","MeaningOfContent","Meaning of the game's content/message/interpretation","0.35","0.75"
"21","DontKnowMeaning","Don't know/can't describe meaning","0.69","0.95"
"22","NoMeaning","No meaning","0.55","0.9"
"23","OtherMeaning","Other thoughts and meaning",NA,"0.8"
"24","Harmony","Harmony",NA,"0.95"
"25","Discrepancy","Discrepancy",NA,"0.8"
"26","LastingImpression","Lasting impression","-0.1","0.8"
"27","NeedAgain","Need to experience again","1","1"
"28","HealingExperience","Healing experience",NA,"0.95"
"29","Disseminate","Want to disseminate the game to others",NA,"1"
"30","Uncomfortable","Uncomfortable, unenjoyable",NA,"0.9"
