"","id. Response_ID","GamesAsArt?Y/N","DescriptionOfExperience","GameTitle","WhyIsThisExperienceArt?","LongAgo. How_long_ago_di.._","PlayedBefore. Have_you_played.._","TimeToExperience. Where_in_the_ga.._","TimeToExperience[other]. Where_in_the_ga..__[Other]","Meaning. Thinking_back_t.._","EffectOnGameYN. Did_this_experi.._","effectongame. Please_elaborate:","EffectPersonalYN. Did_this_experi.._","effectpersonal. Please_elaborate:","EffectOnMediumYN. Did_this_experi.._","EffectOnMedium. Please_explain_.._","IntentionYN. Do_you_think_yo.._","Intention. Please_explain_.._","EXPInOtherArtYN. Did_you_ever_ex.._","ExpInOtherArtType. What_form_of_me.._","ExpInOtherArtType[other]. What_form_of_me..__[Other]","ExpInOtherArt. Please_describe.._","NoExperienceYN. Do_you_think_di.._","NoExperience. Please_explain_.._","FavGames[Fav1]. Please_name_up_..__[1]","FavGames[Fav2]. Please_name_up_..__[2]","FavGames[Fav3]. Please_name_up_..__[3]","FavGames[Fav4]. Please_name_up_..__[4]","FavGames[Fav5]. Please_name_up_..__[5]"
"1",260,"No",NA,NA,NA,NA,"N/A",NA,NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"No",NA,NA,NA,"Yes","People can experience what ever how ever they see fit.","Quake 1 TF","Counter-Strike",NA,NA,NA
"2",319,"No",NA,NA,NA,NA,"N/A",NA,NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"Yes","Other",NA,"It held a critical position and oriented itself as a model for engaging with the visual landscape in a novel/critical way","Yes","I have not encountered an instance yet but it would have to follow the stipulations above",NA,NA,NA,NA,NA
"3",331,"No",NA,NA,NA,NA,"N/A",NA,NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"Yes","Visual Art (Painting, Sculptures, Architecture, etc.)",NA,"The intention from the artist to have it be art in combination with my frame of reference what is considered art in history.","Yes","The intention matters. As history has proven, art can take many forms, including forms we may not be able to comprehend (yet). While it may have been (and may be to some people right now) inconceivable to consider games art before, I personally would definitely tolerate the effort.","League of legends","Overwatch","Grand Theft Auto","Minecraft","Civ"
"4",540,"No",NA,NA,NA,NA,"N/A",NA,NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"Yes","Visual Art (Painting, Sculptures, Architecture, etc.)",NA,"I only chose the Visual Art option because I’m only allowed to pick one. I personally consider all of the above to be their own form of art. To me, art is a universal language through which the artist tries to convey a message through means like words in literature, human expressions in performances, sounds in music, or images (not pictures necessarily, the front of a construction is an image in itself), and many others. I have found that sculptures are an incredibly  powerful tool that can show emotions, and more importantly, create emotions on each person based on their perception of the piece.","No","From my experience, video games built by teams of developers have a lot more in common with building a maze, or designing a board game than with painting a picture or writing a script for a theatrical play. Although, video games can contain, in my opinion, portions of art; original music, shots of landscapes, portrayal of situations, cinematics, voice-acting, etc. I guess I could compare this with a book of paintings, the book in itself isn’t art, but it does contain many pictures of real art.","1.- Dota 2","The Legend of Zelda",NA,NA,NA
"5",606,"No",NA,NA,NA,NA,"N/A",NA,NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"Yes","Music",NA,"Emotions generated by music","Yes","It depends the intentions of the author, the content and context of the user/s.","FIFA",NA,NA,NA,NA
"6",620,"No",NA,NA,NA,NA,"N/A",NA,NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"No",NA,NA,NA,"No","I don't believe in ""art"", as it's commonly understood and applied in general discourse, as a meaningful experiential or qualitative description of a work. I regard it largely as a social fabrication, rooted far more in an essentialist desire for value judgements, than as an honest or genuine appraisal of a work in its own right.","Pathologic 2","Modern Warfare (either the new one or MW2)","Assassin's Creed Odyssey","Dear Esther","Ghost Recon Wildlands"
"7",8,"Yes","This game somehow expressed a way to look at the world in a highly relatable manner. In the way that i had to think about the puzzles, drawing connections between elements of different scales and orientation, i felt it described very well what it means to be human, and to learn with the world. It also made me question the role of my environment in my own development: the way my environment is affects the way i learn and the kind of inferences i draw from different situations.
To me, this is what art is about, it explains without explaining, asks questions without asking them.","Gorogoa","The questions it raised and the highly emotional connection that emerged between me and the game, the experience.","2-11 months ago","Yes","During the general gameplay",NA,"I don’t usually believe experiences mean anything so it’s difficult to answer this question (or maybe i misunderstood it). The experience is personal, i am not sure that the creator intended it to mean a specific thing for me.","Yes","I have a strong emotion connection with this game, i replay it when i want to experience this again. It’s shaking my view of the world.","Yes","Seeing how my personality and learning depends so much on how my world is built makes me more open to exploring other perspectives.","No","i always believed video games can create such experiences, the interactive part is an interesting medium to explore for “art”-like experiences.","No","i believe every experience is personal and individual, i am not sure what the developer intended here. And i am not sure that it matters.","N/A",NA,NA,NA,"N/A",NA,"Transistor","Hades","Gorogoa","Rimworld","Thomas was alone"
"8",9,"Yes","The game was ""This War of Mine"" - the whole game was, to me, an artistic experience. There are too many instances to recall one in particular, but I do know that the instances that made me think ""wow this is art"" were the most emotional events of the game - the plot twists in the Stories mode, the difficult decisions one has to make, the moments where the gameplay took me off-guard.","This War of Mine.","It's one of those game that are loaded with emotional implications, make a clever and conscious use of game mechanics, and where every aspect of the game supports every other aspect of the game and the overall play experience. I would differentiate it from something like Candy Crush in that Candy Crush doesn't strike me as a game that is trying to convey expression. This War of Mine goes beyond entertainment through its gameplay, narrative, music, art. I think an artistic game tries to use its medium to convey something that goes beyond the gameworld - in the same way that a book or a movie are not self-contained and are usually a means for the artist to express something else.","1-2 years ago","No","During the general gameplay",NA,"I think the experience of the overall game is meant to put you in the shoes of civilians in a genre dominated by games where you play the soldiers - it's a shift of perspective, that is both innovative and thought-provoking, both for its real-life implications (making you experience the hidden side of wars) and for its implications about games conventions (war games are rarely about the victims).","No","I already knew prior to playing that the game was unusual in its approach to the war games and simulation genre, so my expectations were already adjusted accordingly.","Yes","It made me want to play more games in the same vein and comforted me in my anti-war views!","Yes","This game was the first I played that so evidently defied my prior experiences and knowledge of digital games conventions, and reshaped the way I thought of games as a means of expression. I didn't really know how political games could be beyond their narrative, and this games gave me a glimpse of games' expressive potentiel.","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"This War of Mine","Sid Meier's Civilization V","Assassin's Creed: Black Flag",NA,NA
"9",12,"Yes","A murder mystery, set up in a unique way in a limited colour palette deliberately chosen to obscure information artistically while showing other information.","Return of the Obra Dinn","It is a basic murder mystery/logic puzzle. Thanks to the graphical style, the way the player discovers the information and the story, the game is a work of art.","1-2 years ago","No","During the general gameplay",NA,"that it was a good game, but had something very special in it beyond the gameplay and enjoyment.","Yes","This game is a work of genius and art. It is one of my favourite games of all time. I wish I could wipe my memory so I could play it and experience it again.

I still after a year of playing remember explicit moments of this puzzle.","Yes","Opened my eyes to new game ideas","No","I already knew games could be art, and could be this good.","Yes","Based on the dev's previous game - Papers Please - I believe he very much intends to send messages of various kinds in his games.","N/A",NA,NA,NA,"N/A",NA,"Dwarf Fortress","Return of the Obra Dinn","Might and Magic 8","Civilisation","Myst"
"10",17,"Yes","The game made me question the tropes and conventions of games, by constantly playing with and breaking my expectations. at the same time, the game is minimalistic and abstracted to the max, which helps make it a commentary/critique of games in general, instead of a particular genre (although the game is nominally a 2D platformer)","Pretentious Game","The way it made me reflect on my past gaming experiences, and the conventions and mechanics we’ve grown to expect from games","1-2 years ago","No","During the general gameplay",NA,"I don’t really understand the question","No","can’t really separate ”experiencing the game as art” and ”viewing the game”","Yes","made me want to continue trying out new games, because every now and then one finds a gem although the average game doesn’t offer anything new or interesting.","Yes","see above","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"Last of Us","Half life 2","Clash Royale","Gone Home","Horizon Zero Dawn"
